Geographic Area,Year,Private Insured
United States,2019,217812000
Alabama,2019,3228000
Alaska,2019,457000
Arizona,2019,4490000
Arkansas,2019,1757000
California,2019,24913000
Colorado,2019,4016000
Connecticut,2019,2440000
Delaware,2019,678000
District of Columbia,2019,506000
Florida,2019,13216000
Georgia,2019,6860000
Hawaii,2019,1034000
Idaho,2019,1235000
Illinois,2019,8760000
Indiana,2019,4610000
Iowa,2019,2277000
Kansas,2019,2121000
Kentucky,2019,2795000
Louisiana,2019,2625000
Maine,2019,922000
Maryland,2019,4398000
Massachusetts,2019,5068000
Michigan,2019,7015000
Minnesota,2019,4234000
Mississippi,2019,1705000
Missouri,2019,4196000
Montana,2019,698000
Nebraska,2019,1432000
Nevada,2019,1977000
New Hampshire,2019,1015000
New Jersey,2019,6290000
New Mexico,2019,1106000
New York,2019,12970000
North Carolina,2019,6852000
North Dakota,2019,588000
Ohio,2019,7939000
Oklahoma,2019,2474000
Oregon,2019,2840000
Pennsylvania,2019,9052000
Rhode Island,2019,765000
South Carolina,2019,3345000
South Dakota,2019,622000
Tennessee,2019,4439000
Texas,2019,17619000
Utah,2019,2496000
Vermont,2019,425000
Virginia,2019,6196000
Washington,2019,5327000
West Virginia,2019,1103000
Wisconsin,2019,4275000
Wyoming,2019,407000
United States,2018,217623000
Alabama,2018,3202000
Alaska,2018,460000
Arizona,2018,4421000
Arkansas,2018,1787000
California,2018,24897000
Colorado,2018,3964000
Connecticut,2018,2502000
Delaware,2018,673000
District of Columbia,2018,488000
Florida,2018,13070000
Georgia,2018,6796000
Hawaii,2018,1045000
Idaho,2018,1208000
Illinois,2018,8817000
Indiana,2018,4629000
Iowa,2018,2328000
Kansas,2018,2121000
Kentucky,2018,2818000
Louisiana,2018,2694000
Maine,2018,927000
Maryland,2018,4398000
Massachusetts,2018,5053000
Michigan,2018,7028000
Minnesota,2018,4227000
Mississippi,2018,1766000
Missouri,2018,4228000
Montana,2018,697000
Nebraska,2018,1427000
Nevada,2018,1947000
New Hampshire,2018,1015000
New Jersey,2018,6410000
New Mexico,2018,1119000
New York,2018,12976000
North Carolina,2018,6855000
North Dakota,2018,593000
Ohio,2018,7905000
Oklahoma,2018,2475000
Oregon,2018,2811000
Pennsylvania,2018,9120000
Rhode Island,2018,729000
South Carolina,2018,3288000
South Dakota,2018,623000
Tennessee,2018,4384000
Texas,2018,17467000
Utah,2018,2463000
Vermont,2018,433000
Virginia,2018,6258000
Washington,2018,5243000
West Virginia,2018,1116000
Wisconsin,2018,4295000
Wyoming,2018,424000
United States,2017,216952000
Alabama,2017,3205000
Alaska,2017,453000
Arizona,2017,4352000
Arkansas,2017,1807000
California,2017,24824000
Colorado,2017,3862000
Connecticut,2017,2524000
Delaware,2017,697000
District of Columbia,2017,479000
Florida,2017,12835000
Georgia,2017,6774000
Hawaii,2017,1057000
Idaho,2017,1184000
Illinois,2017,8822000
Indiana,2017,4644000
Iowa,2017,2351000
Kansas,2017,2129000
Kentucky,2017,2821000
Louisiana,2017,2760000
Maine,2017,932000
Maryland,2017,4428000
Massachusetts,2017,5009000
Michigan,2017,7038000
Minnesota,2017,4193000
Mississippi,2017,1763000
Missouri,2017,4236000
Montana,2017,697000
Nebraska,2017,1435000
Nevada,2017,1921000
New Hampshire,2017,1016000
New Jersey,2017,6413000
New Mexico,2017,1119000
New York,2017,13124000
North Carolina,2017,6752000
North Dakota,2017,589000
Ohio,2017,7934000
Oklahoma,2017,2465000
Oregon,2017,2770000
Pennsylvania,2017,9143000
Rhode Island,2017,727000
South Carolina,2017,3225000
South Dakota,2017,624000
Tennessee,2017,4381000
Texas,2017,17326000
Utah,2017,2413000
Vermont,2017,411000
Virginia,2017,6293000
Washington,2017,5169000
West Virginia,2017,1108000
Wisconsin,2017,4306000
Wyoming,2017,412000
United States,2016,215859000
Alabama,2016,3249000
Alaska,2016,483000
Arizona,2016,4246000
Arkansas,2016,1820000
California,2016,24428000
Colorado,2016,3823000
Connecticut,2016,2536000
Delaware,2016,670000
District of Columbia,2016,459000
Florida,2016,12663000
Georgia,2016,6710000
Hawaii,2016,1065000
Idaho,2016,1166000
Illinois,2016,8884000
Indiana,2016,4624000
Iowa,2016,2327000
Kansas,2016,2142000
Kentucky,2016,2842000
Louisiana,2016,2811000
Maine,2016,926000
Maryland,2016,4407000
Massachusetts,2016,4975000
Michigan,2016,6991000
Minnesota,2016,4196000
Mississippi,2016,1759000
Missouri,2016,4264000
Montana,2016,702000
Nebraska,2016,1427000
Nevada,2016,1881000
New Hampshire,2016,1008000
New Jersey,2016,6388000
New Mexico,2016,1127000
New York,2016,12993000
North Carolina,2016,6727000
North Dakota,2016,597000
Ohio,2016,7953000
Oklahoma,2016,2461000
Oregon,2016,2768000
Pennsylvania,2016,9165000
Rhode Island,2016,746000
South Carolina,2016,3242000
South Dakota,2016,623000
Tennessee,2016,4339000
Texas,2016,17190000
Utah,2016,2379000
