Geographic Area,Year,Uninsured
United States,2019,29639000.0
Alabama,2019,469000.0
Arizona,2019,809000.0
Arkansas,2019,271000.0
California,2019,3002000.0
Colorado,2019,453000.0
Connecticut,2019,207000.0
Delaware,2019,63000.0
District of Columbia,2019,25000.0
Florida,2019,2784000.0
Georgia,2019,1398000.0
Hawaii,2019,56000.0
Idaho,2019,191000.0
Illinois,2019,923000.0
Indiana,2019,578000.0
Iowa,2019,156000.0
Kansas,2019,262000.0
Kentucky,2019,283000.0
Louisiana,2019,404000.0
Maine,2019,107000.0
Maryland,2019,357000.0
Massachusetts,2019,204000.0
Michigan,2019,571000.0
Minnesota,2019,273000.0
Mississippi,2019,377000.0
Missouri,2019,604000.0
Montana,2019,87000.0
Nebraska,2019,158000.0
Nevada,2019,348000.0
New Hampshire,2019,84000.0
New Jersey,2019,692000.0
New Mexico,2019,205000.0
New York,2019,1007000.0
North Carolina,2019,1157000.0
North Dakota,2019,51000.0
Ohio,2019,758000.0
Oklahoma,2019,553000.0
Oregon,2019,299000.0
Pennsylvania,2019,726000.0
Rhode Island,2019,43000.0
South Carolina,2019,548000.0
South Dakota,2019,88000.0
Tennessee,2019,682000.0
Texas,2019,5234000.0
Utah,2019,307000.0
Vermont,2019,28000.0
Virginia,2019,658000.0
Washington,2019,496000.0
West Virginia,2019,118000.0
Wisconsin,2019,329000.0
Wyoming,2019,70000.0
United States,2018,28566000.0
Alabama,2018,481000.0
Arizona,2018,750000.0
Arkansas,2018,244000.0
California,2018,2826000.0
Colorado,2018,422000.0
Connecticut,2018,187000.0
Delaware,2018,54000.0
District of Columbia,2018,22000.0
Florida,2018,2728000.0
Georgia,2018,1411000.0
Hawaii,2018,56000.0
Idaho,2018,193000.0
Illinois,2018,875000.0
Indiana,2018,545000.0
Iowa,2018,147000.0
Kansas,2018,250000.0
Kentucky,2018,248000.0
Louisiana,2018,363000.0
Maine,2018,106000.0
Maryland,2018,357000.0
Massachusetts,2018,189000.0
Michigan,2018,535000.0
Minnesota,2018,244000.0
Mississippi,2018,354000.0
Missouri,2018,566000.0
Montana,2018,86000.0
Nebraska,2018,158000.0
Nevada,2018,336000.0
New Hampshire,2018,77000.0
New Jersey,2018,655000.0
New Mexico,2018,196000.0
New York,2018,1041000.0
North Carolina,2018,1092000.0
North Dakota,2018,54000.0
Ohio,2018,744000.0
Oklahoma,2018,548000.0
Oregon,2018,293000.0
Pennsylvania,2018,699000.0
Rhode Island,2018,42000.0
South Carolina,2018,522000.0
South Dakota,2018,85000.0
Tennessee,2018,675000.0
Texas,2018,5003000.0
Utah,2018,295000.0
Vermont,2018,25000.0
Virginia,2018,731000.0
Washington,2018,477000.0
West Virginia,2018,114000.0
Wisconsin,2018,313000.0
Wyoming,2018,59000.0
United States,2017,28019000.0
Alabama,2017,449000.0
Arizona,2017,695000.0
Arkansas,2017,232000.0
California,2017,2797000.0
Colorado,2017,414000.0
Connecticut,2017,194000.0
Delaware,2017,51000.0
District of Columbia,2017,26000.0
Florida,2017,2676000.0
Georgia,2017,1375000.0
Hawaii,2017,53000.0
Idaho,2017,172000.0
Illinois,2017,859000.0
Indiana,2017,536000.0
Iowa,2017,146000.0
Kansas,2017,249000.0
Kentucky,2017,235000.0
Louisiana,2017,383000.0
Maine,2017,107000.0
Maryland,2017,366000.0
Massachusetts,2017,190000.0
Michigan,2017,510000.0
Minnesota,2017,243000.0
Mississippi,2017,352000.0
Missouri,2017,548000.0
Montana,2017,88000.0
Nebraska,2017,157000.0
Nevada,2017,333000.0
New Hampshire,2017,77000.0
New Jersey,2017,688000.0
New Mexico,2017,187000.0
New York,2017,1113000.0
North Carolina,2017,1076000.0
North Dakota,2017,56000.0
Ohio,2017,686000.0
Oklahoma,2017,545000.0
Oregon,2017,281000.0
Pennsylvania,2017,692000.0
Rhode Island,2017,48000.0
South Carolina,2017,542000.0
South Dakota,2017,77000.0
Tennessee,2017,629000.0
Texas,2017,4817000.0
Utah,2017,282000.0
Vermont,2017,28000.0
Virginia,2017,729000.0
Washington,2017,446000.0
West Virginia,2017,109000.0
Wisconsin,2017,309000.0
Wyoming,2017,70000.0
United States,2016,27304000.0
Alabama,2016,435000.0
Arizona,2016,681000.0
Arkansas,2016,232000.0
California,2016,2844000.0
Colorado,2016,410000.0
Connecticut,2016,172000.0
Delaware,2016,53000.0
District of Columbia,2016,26000.0
Florida,2016,2544000.0
Georgia,2016,1310000.0
Hawaii,2016,49000.0
Idaho,2016,168000.0
Illinois,2016,817000.0
Indiana,2016,530000.0
Iowa,2016,132000.0
Kansas,2016,249000.0
Kentucky,2016,223000.0
Louisiana,2016,470000.0
Maine,2016,106000.0
Maryland,2016,363000.0
Massachusetts,2016,171000.0
Michigan,2016,527000.0
Minnesota,2016,225000.0
Mississippi,2016,346000.0
Missouri,2016,532000.0
Montana,2016,83000.0
Nebraska,2016,161000.0
Nevada,2016,330000.0
New Hampshire,2016,78000.0
New Jersey,2016,705000.0
New Mexico,2016,188000.0
New York,2016,1183000.0
North Carolina,2016,1038000.0
North Dakota,2016,52000.0
Ohio,2016,644000.0
Oklahoma,2016,530000.0
Oregon,2016,253000.0
Pennsylvania,2016,708000.0
Rhode Island,2016,45000.0
South Carolina,2016,486000.0
South Dakota,2016,74000.0
Tennessee,2016,592000.0
Texas,2016,4545000.0
Utah,2016,265000.0
Vermont,2016,23000.0
Virginia,2016,715000.0
Washington,2016,428000.0
West Virginia,2016,96000.0
Wisconsin,2016,300000.0
Wyoming,2016,67000.0
United States,2015,29758000.0
Alabama,2015,484000.0
Arizona,2015,728000.0
Arkansas,2015,278000.0
California,2015,3317000.0
Colorado,2015,433000.0
Connecticut,2015,211000.0
Delaware,2015,54000.0
District of Columbia,2015,25000.0
Florida,2015,2662000.0
Georgia,2015,1388000.0
Hawaii,2015,55000.0
Idaho,2015,180000.0
Illinois,2015,900000.0
Indiana,2015,628000.0
Iowa,2015,155000.0
Kansas,2015,261000.0
Kentucky,2015,261000.0
Louisiana,2015,546000.0
Maine,2015,111000.0
Maryland,2015,389000.0
Massachusetts,2015,189000.0
Michigan,2015,597000.0
Minnesota,2015,245000.0
Mississippi,2015,372000.0
Missouri,2015,583000.0
Montana,2015,119000.0
Nebraska,2015,154000.0
Nevada,2015,351000.0
New Hampshire,2015,83000.0
New Jersey,2015,771000.0
New Mexico,2015,224000.0
New York,2015,1381000.0
North Carolina,2015,1103000.0
North Dakota,2015,57000.0
Ohio,2015,746000.0
Oklahoma,2015,533000.0
Oregon,2015,280000.0
Pennsylvania,2015,802000.0
Rhode Island,2015,59000.0
South Carolina,2015,523000.0
South Dakota,2015,86000.0
Tennessee,2015,667000.0
Texas,2015,4615000.0
Utah,2015,311000.0
Vermont,2015,24000.0
Virginia,2015,746000.0
Washington,2015,468000.0
West Virginia,2015,108000.0
Wisconsin,2015,323000.0
Wyoming,2015,66000.0
United States,2014,36670000.0
Alabama,2014,579000.0
Arizona,2014,903000.0
Arkansas,2014,343000.0
California,2014,4767000.0
Colorado,2014,543000.0
Connecticut,2014,245000.0
Delaware,2014,72000.0
District of Columbia,2014,34000.0
Florida,2014,3245000.0
Georgia,2014,1568000.0
Hawaii,2014,72000.0
Idaho,2014,219000.0
Illinois,2014,1238000.0
Indiana,2014,776000.0
Iowa,2014,189000.0
Kansas,2014,291000.0
Kentucky,2014,366000.0
Louisiana,2014,672000.0
Maine,2014,134000.0
Maryland,2014,463000.0
Massachusetts,2014,219000.0
Michigan,2014,837000.0
Minnesota,2014,317000.0
Mississippi,2014,424000.0
Missouri,2014,694000.0
Montana,2014,143000.0
Nebraska,2014,179000.0
Nevada,2014,427000.0
New Hampshire,2014,120000.0
New Jersey,2014,965000.0
New Mexico,2014,298000.0
New York,2014,1697000.0
North Carolina,2014,1276000.0
North Dakota,2014,57000.0
Ohio,2014,955000.0
Oklahoma,2014,584000.0
Oregon,2014,383000.0
Pennsylvania,2014,1065000.0
Rhode Island,2014,77000.0
South Carolina,2014,642000.0
South Dakota,2014,82000.0
Tennessee,2014,776000.0
Texas,2014,5047000.0
Utah,2014,366000.0
Vermont,2014,31000.0
Virginia,2014,884000.0
Washington,2014,643000.0
West Virginia,2014,156000.0
Wisconsin,2014,418000.0
Wyoming,2014,69000.0
United States,2013,45181000.0
Alabama,2013,645000.0
Arizona,2013,1118000.0
Arkansas,2013,465000.0
California,2013,6500000.0
Colorado,2013,729000.0
Connecticut,2013,333000.0
Delaware,2013,83000.0
District of Columbia,2013,42000.0
Florida,2013,3853000.0
Georgia,2013,1846000.0
Hawaii,2013,91000.0
Idaho,2013,257000.0
Illinois,2013,1618000.0
Indiana,2013,903000.0
Iowa,2013,248000.0
Kansas,2013,348000.0
Kentucky,2013,616000.0
Louisiana,2013,751000.0
Maine,2013,147000.0
Maryland,2013,593000.0
Massachusetts,2013,247000.0
Michigan,2013,1072000.0
Minnesota,2013,440000.0
Mississippi,2013,500000.0
Missouri,2013,773000.0
Montana,2013,165000.0
Nebraska,2013,209000.0
Nevada,2013,570000.0
New Hampshire,2013,140000.0
New Jersey,2013,1160000.0
New Mexico,2013,382000.0
New York,2013,2070000.0
North Carolina,2013,1509000.0
North Dakota,2013,73000.0
Ohio,2013,1258000.0
Oklahoma,2013,666000.0
Oregon,2013,571000.0
Pennsylvania,2013,1222000.0
Rhode Island,2013,120000.0
South Carolina,2013,739000.0
South Dakota,2013,93000.0
Tennessee,2013,887000.0
Texas,2013,5748000.0
Utah,2013,402000.0
Vermont,2013,45000.0
Virginia,2013,991000.0
Washington,2013,960000.0
West Virginia,2013,255000.0
Wisconsin,2013,518000.0
Wyoming,2013,77000.0
United States,2012,45615000.0
Alabama,2012,632000.0
Arizona,2012,1131000.0
Arkansas,2012,476000.0
California,2012,6710000.0
Colorado,2012,751000.0
Connecticut,2012,322000.0
