Geographic Area,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
United States,29639000.0,28566000.0,28019000.0,27304000.0,29758000.0,36670000.0,45181000.0,45615000.0,46376000.0,47208000.0,45665000.0,43503000.0,45657000,46995000,44815000,43498000,43404000,42019000,39760000,38426000,38767000
Alabama,469000.0,481000.0,449000.0,435000.0,484000.0,579000.0,645000.0,632000.0,674000.0,687000.0,637000.0,609000.0,549000,689000,657000,562000,586000,539000,548000,557000,571000
Arizona,809000.0,750000.0,695000.0,681000.0,728000.0,903000.0,1118000.0,1131000.0,1095000.0,1065000.0,1127000.0,1154000.0,1164000,1311000,1183000,961000,929000,887000,933000,834000,996000
Arkansas,271000.0,244000.0,232000.0,232000.0,278000.0,343000.0,465000.0,476000.0,492000.0,501000.0,483000.0,480000.0,451000,521000,482000,441000,457000,431000,419000,367000,357000
California,3002000.0,2826000.0,2797000.0,2844000.0,3317000.0,4767000.0,6500000.0,6710000.0,6726000.0,6825000.0,6559000.0,6239000.0,6613000,6791000,6757000,6441000,6322000,6231000,6573000,6154000,6459000
Colorado,453000.0,422000.0,414000.0,410000.0,433000.0,543000.0,729000.0,751000.0,760000.0,789000.0,778000.0,812000.0,801000,826000,772000,719000,745000,676000,659000,598000,660000
Connecticut,207000.0,187000.0,194000.0,172000.0,211000.0,245000.0,333000.0,322000.0,309000.0,320000.0,305000.0,302000.0,326000,325000,381000,381000,346000,331000,321000,313000,291000
Delaware,63000.0,54000.0,51000.0,53000.0,54000.0,72000.0,83000.0,80000.0,84000.0,86000.0,89000.0,85000.0,96000,105000,103000,110000,86000,75000,71000,69000,73000
District of Columbia,25000.0,22000.0,26000.0,26000.0,25000.0,34000.0,42000.0,37000.0,42000.0,45000.0,41000.0,44000.0,55000,66000,71000,67000,76000,72000,67000,75000,76000
Florida,2784000.0,2728000.0,2676000.0,2544000.0,2662000.0,3245000.0,3853000.0,3816000.0,3911000.0,3941000.0,3795000.0,3639000.0,3648000,3828000,3616000,3382000,2969000,2740000,2785000,2727000,2779000
Georgia,1398000.0,1411000.0,1375000.0,1310000.0,1388000.0,1568000.0,1846000.0,1792000.0,1883000.0,1876000.0,1836000.0,1725000.0,1662000,1659000,1654000,1469000,1372000,1321000,1312000,1145000,1143000
Hawaii,56000.0,56000.0,53000.0,49000.0,55000.0,72000.0,91000.0,92000.0,94000.0,104000.0,86000.0,80000.0,96000,110000,110000,104000,119000,120000,111000,110000,121000
Idaho,191000.0,193000.0,172000.0,168000.0,180000.0,219000.0,257000.0,255000.0,259000.0,275000.0,264000.0,257000.0,209000,227000,213000,200000,247000,225000,205000,194000,224000
Illinois,923000.0,875000.0,859000.0,817000.0,900000.0,1238000.0,1618000.0,1622000.0,1659000.0,1746000.0,1694000.0,1575000.0,1700000,1776000,1730000,1640000,1761000,1694000,1616000,1632000,1571000
Indiana,578000.0,545000.0,536000.0,530000.0,628000.0,776000.0,903000.0,920000.0,931000.0,948000.0,901000.0,839000.0,717000,748000,832000,847000,792000,750000,674000,650000,532000
Iowa,156000.0,147000.0,146000.0,132000.0,155000.0,189000.0,248000.0,254000.0,269000.0,280000.0,255000.0,256000.0,275000,307000,241000,266000,318000,262000,211000,239000,198000
Kansas,262000.0,250000.0,249000.0,249000.0,261000.0,291000.0,348000.0,356000.0,355000.0,389000.0,363000.0,313000.0,345000,335000,278000,286000,275000,266000,288000,274000,297000
Kentucky,283000.0,248000.0,235000.0,223000.0,261000.0,366000.0,616000.0,595000.0,618000.0,647000.0,613000.0,551000.0,570000,639000,498000,556000,540000,528000,459000,521000,477000
Louisiana,404000.0,363000.0,383000.0,470000.0,546000.0,672000.0,751000.0,760000.0,784000.0,791000.0,762000.0,733000.0,776000,921000,725000,707000,866000,793000,799000,755000,906000
Maine,107000.0,106000.0,107000.0,106000.0,111000.0,134000.0,147000.0,135000.0,140000.0,133000.0,137000.0,135000.0,115000,122000,136000,115000,128000,140000,129000,135000,136000
Maryland,357000.0,357000.0,366000.0,363000.0,389000.0,463000.0,593000.0,598000.0,598000.0,641000.0,621000.0,595000.0,762000,776000,746000,742000,733000,674000,623000,511000,524000
Massachusetts,204000.0,189000.0,190000.0,171000.0,189000.0,219000.0,247000.0,254000.0,277000.0,286000.0,271000.0,249000.0,340000,657000,583000,720000,647000,614000,479000,527000,562000
Michigan,571000.0,535000.0,510000.0,527000.0,597000.0,837000.0,1072000.0,1114000.0,1150000.0,1207000.0,1203000.0,1081000.0,1151000,1043000,1033000,1109000,1013000,1079000,966000,838000,974000
Minnesota,273000.0,244000.0,243000.0,225000.0,245000.0,317000.0,440000.0,425000.0,467000.0,476000.0,473000.0,433000.0,433000,475000,408000,434000,420000,376000,371000,368000,327000
Mississippi,377000.0,354000.0,352000.0,346000.0,372000.0,424000.0,500000.0,498000.0,516000.0,528000.0,514000.0,486000.0,545000,600000,483000,478000,501000,450000,448000,361000,420000
Missouri,604000.0,566000.0,548000.0,532000.0,583000.0,694000.0,773000.0,801000.0,807000.0,774000.0,774000.0,720000.0,729000,772000,668000,670000,605000,622000,525000,511000,344000
Montana,87000.0,86000.0,88000.0,83000.0,119000.0,143000.0,165000.0,178000.0,180000.0,169000.0,174000.0,166000.0,146000,160000,145000,166000,173000,133000,119000,146000,156000
Nebraska,158000.0,158000.0,157000.0,161000.0,154000.0,179000.0,209000.0,206000.0,207000.0,208000.0,210000.0,189000.0,232000,217000,185000,180000,181000,161000,146000,140000,156000
Nevada,348000.0,336000.0,333000.0,330000.0,351000.0,427000.0,570000.0,603000.0,589000.0,604000.0,572000.0,532000.0,441000,496000,418000,440000,410000,412000,328000,336000,374000
