Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,282165844,285049647,287745630,290242027,292936109,295618454,298431771,301393632,304177401,306656290,309321666.0,311556874.0,313830990.0,315993715.0,318301008.0,320635163.0,322941311.0,324985539.0,326687501.0,328239523.0,331449281.0
Northeast,53663333,53922845,54163808,54378581,54516501,54595246,54698799,54868196,55049539,55242435,,,,,,,,,,,
Midwest,64491889,64807870,65069187,65335106,65586267,65801226,66066820,66344701,66572128,66770813,,,,,,,,,,,
South,100559291,101856689,103151318,104353923,105804145,107332739,108852101,110479851,111929667,113185196,,,,,,,,,,,
West,63451331,64462243,65361317,66174417,67029196,67889243,68814051,69700884,70626067,71457846,,,,,,,,,,,
Alabama,4451497,4463343,4471462,4489876,4510588,4542912,4594911,4634063,4673889,4707496,4785437.0,4799069.0,4815588.0,4830081.0,4841799.0,4852347.0,4863525.0,4874486.0,4887681.0,4903185.0,5024279.0
Alaska,627748,633538,641974,647671,659305,667114,675322,679893,685532,694690,713910.0,722128.0,730443.0,737068.0,736283.0,737498.0,741456.0,739700.0,735139.0,731545.0,733391.0
Arizona,5166304,5303869,5451472,5590820,5758692,5973970,6190987,6360238,6499207,6587653,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0,7151502.0
Arkansas,2678115,2690743,2704471,2722804,2746215,2776257,2814910,2841595,2867099,2887331,2921964.0,2940667.0,2952164.0,2959400.0,2967392.0,2978048.0,2989918.0,3001345.0,3009733.0,3017804.0,3011524.0
California,33994383,34481753,34867773,35236589,35538256,35770688,35947461,36185908,36538008,36887615,37319502.0,37638369.0,37948800.0,38260787.0,38596972.0,38918045.0,39167117.0,39358497.0,39461588.0,39512223.0,39538223.0
Colorado,4328277,4432779,4502883,4545766,4595674,4655731,4747872,4837229,4928676,5015155,5047349.0,5121108.0,5192647.0,5269035.0,5350101.0,5450623.0,5539215.0,5611885.0,5691287.0,5758736.0,5773714.0
Connecticut,3411506,3428043,3448145,3468319,3474379,3477185,3484531,3488084,3502664,3514826,3579114.0,3588283.0,3594547.0,3594841.0,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,3565287.0,3605944.0
